Howk,Dove,Total
100,100,200
100,100,200
100,100,200
156,100,256
160,106,266
187,115,302
200,122,322
234,132,366
258,143,401
282,150,432
326,163,489
344,171,515
368,177,545
392,183,575
413,191,604
428,198,626
437,206,643
458,209,667
481,212,693
496,220,716
509,224,733
543,229,772
541,234,775
571,235,806
580,235,815
582,241,823
598,243,841
606,245,851
607,246,853
623,245,868
622,252,874
642,254,896
659,254,913
676,257,933
687,255,942
696,258,954
717,260,977
736,259,995
743,260,1003
740,260,1000
747,260,1007
722,262,984
723,266,989
739,267,1006
731,266,997
740,268,1008
739,266,1005
755,265,1020
753,265,1018
767,264,1031
776,260,1036
785,257,1042
775,257,1032
789,259,1048
802,256,1058
793,253,1046
793,248,1041
802,243,1045
805,241,1046
802,237,1039
817,236,1053
805,235,1040
808,233,1041
802,230,1032
792,227,1019
791,222,1013
791,220,1011
779,215,994
784,215,999
781,213,994
773,213,986
752,208,960
742,207,949
742,206,948
743,207,950
733,205,938
739,203,942
725,200,925
718,198,916
723,193,916
719,192,911
715,187,902
699,181,880
687,173,860
681,173,854
668,163,831
662,162,824
658,160,818
653,157,810
635,154,789
633,155,788
619,153,772
619,150,769
617,149,766
612,149,761
616,147,763
607,141,748
598,136,734
594,137,731
576,135,711
546,131,677
